avtocod;enodebid;cellid;cellname;band;azimuth;hbw;power;tilt;nc_latitude;nc_longitude;height;eventtime;neighbour;latitude;longitude;altitude;h3_15;servingcellrsrp;servingcellrsrq
63;333333;13;33333313;LTE1800;215;68;42.9;3;53.20194444;50.10944444;21;2025-10-13T17:11:32.963000;1;53.20072531700134;50.10731220245361;0.0;644305104434245968;-83.0;-7.75
63;333333;13;33333313;LTE1800;215;68;42.9;3;53.20194444;50.10944444;21;2025-10-13T17:11:35.358000;1;53.10883283615112;49.94401931762695;976.0;644305110888985308;-94.0;-7.25
63;333333;31;33333331;LTE2100;70;68;43.0;5;53.20194444;50.10944444;21;2025-10-13T17:11:36.486000;1;53.10808181762695;49.97034788131714;995.0;644305110883391818;-82.0;-9.75
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:11:36.501000;1;53.109750151634216;49.943450689315796;983.5;644305110888915872;-85.0;-6.25
63;333333;13;33333313;LTE1800;215;68;42.9;3;53.20194444;50.10944444;21;2025-10-13T17:11:36.555000;1;53.11035633087158;49.94307518005371;998.0;644305110888909597;-113.0;-11.25
63;333333;13;33333313;LTE1800;215;68;42.9;3;53.20194444;50.10944444;21;2025-10-13T17:11:37.043000;1;53.20009231567383;50.105509757995605;731.0;644305104435261573;-105.0;-12.25
63;333333;13;33333313;LTE1800;215;68;42.9;3;53.20194444;50.10944444;21;2025-10-13T17:11:39.142000;1;53.11038851737976;49.94303226470947;998.0;644305110888909612;-115.0;-12.75
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:11:41.410000;1;53.18848371505737;50.1057243347168;0.0;644305104239747202;-66.0;-7.75
63;333333;13;33333313;LTE1800;215;68;42.9;3;53.20194444;50.10944444;21;2025-10-13T17:26:50.092000;1;53.11121463775635;49.94256019592285;973.0;644305110889359401;-104.0;-11.75
63;333333;31;33333331;LTE2100;70;68;43.0;5;53.20194444;50.10944444;21;2025-10-13T17:26:50.096000;1;53.111246824264526;49.94251728057861;988.0;644305110889359680;-61.0;-6.75
63;333333;33;33333333;LTE2100;215;68;44.8;3;53.20194444;50.10944444;21;2025-10-13T17:26:51.647000;1;53.20210933685303;50.10883569717407;281.0;644305104430276629;-114.0;-8.25
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:26:54.454000;1;53.20203423500061;50.11085271835327;62.0;644305104422507562;-90.0;-7.25
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:26:55.084000;1;53.202903270721436;50.11042356491089;69.0;644305104422438277;-66.0;-5.25
63;333333;13;33333313;LTE1800;215;68;42.9;3;53.20194444;50.10944444;21;2025-10-13T17:26:55.219000;1;53.11240553855896;49.94178771972656;973.0;644305110890305158;-104.0;-10.75
63;333333;13;33333313;LTE1800;215;68;42.9;3;53.20194444;50.10944444;21;2025-10-13T17:27:00.331000;1;53.11369299888611;49.9413800239563;985.0;644305110890241457;-105.0;-12.25
63;333333;13;33333313;LTE1800;215;68;42.9;3;53.20194444;50.10944444;21;2025-10-13T17:27:05.443000;1;53.11494827270508;49.94088649749756;986.0;644305108487217702;-104.0;-11.25
63;333333;13;33333313;LTE1800;215;68;42.9;3;53.20194444;50.10944444;21;2025-10-13T17:27:10.539000;1;53.20058584213257;50.104265213012695;0.0;644305104435266413;-104.0;-9.75
63;333333;13;33333313;LTE1800;215;68;42.9;3;53.20194444;50.10944444;21;2025-10-13T17:27:10.570000;1;53.116246461868286;49.94090795516968;991.0;644305108487154341;-104.0;-11.25
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:27:10.747000;1;53.2028603553772;50.11044502258301;66.0;644305104422447469;-63.0;-4.75
63;333333;33;33333333;LTE2100;215;68;44.8;3;53.20194444;50.10944444;21;2025-10-13T17:27:14.205000;1;53.11689019203186;49.94105815887451;953.0;644305108487150688;-98.0;-6.25
63;333333;31;33333331;LTE2100;70;68;43.0;5;53.20194444;50.10944444;21;2025-10-13T17:27:14.819000;1;53.117308616638184;49.94088649749756;987.0;644305108485745778;-61.0;-7.75
63;333333;13;33333313;LTE1800;215;68;42.9;3;53.20194444;50.10944444;21;2025-10-13T17:27:15.633000;1;53.20201277732849;50.10894298553467;0.0;644305104430277705;-89.0;-11.75
63;333333;13;33333313;LTE1800;215;68;42.9;3;53.20194444;50.10944444;21;2025-10-13T17:27:15.662000;1;53.20146560668945;50.1066255569458;0.0;644305104430247345;-105.0;-10.75
63;333333;13;33333313;LTE1800;215;68;42.9;3;53.20194444;50.10944444;21;2025-10-13T17:27:15.704000;1;53.117533922195435;49.940693378448486;992.0;644305108485759732;-104.0;-11.25
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:27:20.197000;1;53.2028603553772;50.11044502258301;66.0;644305104422447469;-60.0;-5.25
63;333333;13;33333313;LTE1800;215;68;42.9;3;53.20194444;50.10944444;21;2025-10-13T17:27:20.751000;1;53.20210933685303;50.109028816223145;0.0;644305104430278501;-90.0;-10.75
63;333333;13;33333313;LTE1800;215;68;42.9;3;53.20194444;50.10944444;21;2025-10-13T17:27:20.762000;1;53.20058584213257;50.104265213012695;0.0;644305104435266413;-105.0;-9.75
63;333333;13;33333313;LTE1800;215;68;42.9;3;53.20194444;50.10944444;21;2025-10-13T17:27:20.802000;1;53.118778467178345;49.94105815887451;981.0;644305108485679429;-105.0;-11.75
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:27:24.529000;1;53.20203423500061;50.11085271835327;62.0;644305104422507562;-87.0;-7.75
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:27:25.301000;1;53.2028603553772;50.11044502258301;66.0;644305104422447469;-60.0;-5.75
63;333333;13;33333313;LTE1800;215;68;42.9;3;53.20194444;50.10944444;21;2025-10-13T17:27:25.907000;1;53.20054292678833;50.10658264160156;0.0;644305104434234516;-104.0;-10.75
63;333333;13;33333313;LTE1800;215;68;42.9;3;53.20194444;50.10944444;21;2025-10-13T17:27:25.948000;1;53.120055198669434;49.94110107421875;976.0;644305108486939146;-105.0;-11.25
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:27:30.438000;1;53.2028603553772;50.11044502258301;66.0;644305104422447469;-60.0;-6.75
63;333333;13;33333313;LTE1800;215;68;42.9;3;53.20194444;50.10944444;21;2025-10-13T17:27:31.017000;1;53.20010304450989;50.10596036911011;0.0;644305104434321428;-104.0;-10.75
63;333333;13;33333313;LTE1800;215;68;42.9;3;53.20194444;50.10944444;21;2025-10-13T17:27:31.048000;1;53.12132120132446;49.941723346710205;984.0;644305108486859635;-105.0;-12.25
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:27:35.598000;1;53.2028603553772;50.11044502258301;66.0;644305104422447469;-60.0;-6.25
63;333333;13;33333313;LTE1800;215;68;42.9;3;53.20194444;50.10944444;21;2025-10-13T17:27:36.146000;1;53.200156688690186;50.10542392730713;0.0;644305104435261721;-103.0;-10.25
63;333333;13;33333313;LTE1800;215;68;42.9;3;53.20194444;50.10944444;21;2025-10-13T17:27:36.159000;1;53.12257647514343;49.94210958480835;985.0;644305108487023176;-106.0;-12.25
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:27:40.712000;1;53.2028603553772;50.11044502258301;66.0;644305104422447469;-60.0;-5.25
63;333333;13;33333313;LTE1800;215;68;42.9;3;53.20194444;50.10944444;21;2025-10-13T17:27:41.259000;1;53.20146560668945;50.1066255569458;0.0;644305104430247345;-104.0;-10.25
63;333333;13;33333313;LTE1800;215;68;42.9;3;53.20194444;50.10944444;21;2025-10-13T17:27:41.296000;1;53.123788833618164;49.94301080703735;989.0;644305108483028506;-105.0;-11.25
